date,fund,company,ticker,shares,market value($),weight(%)
2/4/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,1488121.0,270599922.64,1.06
2/4/2021,ARKK,2U INC,TWOU,8001808.0,366402788.32,1.44
2/4/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2826215.0,730378742.45,2.87
2/4/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,328396.0,34258270.72,0.13
2/4/2021,ARKK,CERUS CORP,CERS,18936575.0,142024312.5,0.56
2/4/2021,ARKK,COMPUGEN LTD,CGEN,9962980.0,124836139.4,0.49
2/4/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6030285.0,1011821520.15,3.98
2/4/2021,ARKK,DOCUSIGN INC,DOCU,1960122.0,482209613.22,1.9
2/4/2021,ARKK,EDITAS MEDICINE INC,EDIT,6611519.0,417715770.42,1.64
2/4/2021,ARKK,EXACT SCIENCES CORP,EXAS,3505637.0,500604963.6,1.97
2/4/2021,ARKK,FATE THERAPEUTICS INC,FATE,882104.0,90521512.48,0.36
2/4/2021,ARKK,HUYA INC-ADR,HUYA,6833849.0,179866905.68,0.71
2/4/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6413936.0,434544164.0,1.71
2/4/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,3127276.0,358229465.8,1.41
2/4/2021,ARKK,INVITAE CORP,NVTA,17340761.0,870332794.59,3.42
2/4/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10397537.0,506152101.16,1.99
2/4/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5692230.0,300891277.8,1.18
2/4/2021,ARKK,KE HOLDINGS INC,BEKE,5604704.0,364193665.92,1.43
2/4/2021,ARKK,LENDINGTREE INC,TREE UW,1216100.0,414009084.0,1.63
2/4/2021,ARKK,MATERIALISE NV-ADR,MTLS,5967005.0,424850756.0,1.67
2/4/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,125212839.68,125212839.68,0.49
2/4/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1713596.0,125949306.0,0.5
2/4/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4163722.0,304492989.86,1.2
2/4/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,2162983.0,196031149.29,0.77
2/4/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,467501.0,6619814.16,0.03
2/4/2021,ARKK,PACCAR INC,PCAR,2664108.0,258684886.8,1.02
2/4/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7208976.0,252386249.76,0.99
2/4/2021,ARKK,PAGERDUTY INC,PD,7502431.0,405431371.24,1.6
2/4/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,2041046.0,551960069.78,2.17
2/4/2021,ARKK,PINTEREST INC- CLASS A,PINS,2978175.0,231821142.0,0.91
2/4/2021,ARKK,PROTO LABS INC,PRLB,3088854.0,663949167.3,2.61
2/4/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,22107524.0,594692395.6,2.34
2/4/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,470238.0,234573523.92,0.92
2/4/2021,ARKK,ROKU INC,ROKU,3930303.0,1700563502.04,6.69
2/4/2021,ARKK,SEA LTD-ADR,SE,1299621.0,317055539.16,1.25
2/4/2021,ARKK,SERES THERAPEUTICS INC,MCRB,7984585.0,210313968.9,0.83
2/4/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,466219.0,587841550.53,2.31
2/4/2021,ARKK,SPLUNK INC,SPLK,882785.0,152068544.1,0.6
2/4/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2441692.0,768400472.4,3.02
2/4/2021,ARKK,SQUARE INC - A,SQ,4958034.0,1178623842.48,4.64
2/4/2021,ARKK,STRATASYS LTD,SSYS,7002944.0,332779898.88,1.31
2/4/2021,ARKK,SYNOPSYS INC,SNPS,889362.0,240207782.58,0.95
2/4/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,5022895.0,58516726.75,0.23
2/4/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3387382.0,434093003.3,1.71
2/4/2021,ARKK,TELADOC HEALTH INC,TDOC,4676231.0,1294567790.04,5.09
2/4/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,6136222.0,585334216.58,2.3
2/4/2021,ARKK,TERADYNE INC,TER,1025351.0,128702057.52,0.51
2/4/2021,ARKK,TESLA INC,TSLA,2835897.0,2410484091.03,9.48
2/4/2021,ARKK,TWILIO INC - A,TWLO,1378517.0,550703756.33,2.17
2/4/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,3004547.0,593848714.55,2.34
2/4/2021,ARKK,UNITY SOFTWARE INC,U,1880765.0,281757404.65,1.11
2/4/2021,ARKK,VERACYTE INC,VCYT,4809293.0,374499645.91,1.47
2/4/2021,ARKK,ZILLOW GROUP INC - C,Z,4884164.0,725786770.4,2.86
2/4/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1320789.0,515081294.22,2.03
2/4/2021,ARKQ,2U INC,TWOU,1201373.0,55010869.67,1.63
2/4/2021,ARKQ,AEROVIRONMENT INC,AVAV,567863.0,69086212.58,2.05
2/4/2021,ARKQ,ALPHABET INC-CL C,GOOG,59155.0,121999497.35,3.62
2/4/2021,ARKQ,AMAZON.COM INC,AMZN,10027.0,33399937.0,0.99
2/4/2021,ARKQ,ANSYS INC,ANSS,102132.0,38545638.12,1.14
2/4/2021,ARKQ,APPLE INC,AAPL,237030.0,32565551.7,0.97
2/4/2021,ARKQ,AUTODESK INC,ADSK,88656.0,26640241.44,0.79
2/4/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,575522.0,148732150.46,4.41
2/4/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1262333.0,83276108.01,2.47
2/4/2021,ARKQ,CATERPILLAR INC,CAT,425547.0,81556082.55,2.42
2/4/2021,ARKQ,DEERE & CO,DE,462559.0,143055621.93,4.24
2/4/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,230629.0,32447194.01,0.96
2/4/2021,ARKQ,EXONE CO/THE,XONE,997483.0,35929337.66,1.06
2/4/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,829769.0,12413344.24,0.37
2/4/2021,ARKQ,FLIR SYSTEMS INC,FLIR,656553.0,35788704.03,1.06
2/4/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,59988.0,12032992.92,0.36
2/4/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,51437.0,38940380.85,1.15
2/4/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1740175.0,91985650.5,2.73
2/4/2021,ARKQ,JD.COM INC-ADR,JD,1468691.0,138982229.33,4.12
2/4/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,2915862.0,83277018.72,2.47
2/4/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,4012436.0,117664685.7,3.49
