date,fund,company,ticker,shares,market value($),weight(%)
2020-10-16,ARKK,ORGANOVO HOLDINGS INC,ONVO,838729.0,8102122.14,0.08
2020-10-16,ARKK,DOUYU INTERNATIONAL HOLD-ADR,DOYU,1216005.0,18580556.4,0.17
2020-10-16,ARKK,EXONE CO/THE,XONE,2012565.0,24553293.0,0.23
2020-10-16,ARKK,SEA LTD-ADR,SE,310428.0,51282705.6,0.48
2020-10-16,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,707924.0,51480233.28,0.48
2020-10-16,ARKK,UNITY SOFTWARE INC,U,570896.0,52842133.76,0.49
2020-10-16,ARKK,SYROS PHARMACEUTICALS INC,SYRS,6554634.0,55058925.6,0.51
2020-10-16,ARKK,XILINX INC,XLNX,547181.0,64578301.62,0.6
2020-10-16,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1068058.0,73535793.3,0.68
2020-10-16,ARKK,FACEBOOK INC-CLASS A,FB,328459.0,87347101.87,0.81
2020-10-16,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6447754.0,92654224.98,0.86
2020-10-16,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,3455361.0,96888322.44,0.9
2020-10-16,ARKK,HUYA INC-ADR,HUYA,4568343.0,101371531.17,0.94
2020-10-16,ARKK,ZSCALER INC,ZS,681767.0,105571619.95,0.98
2020-10-16,ARKK,SYNOPSYS INC,SNPS,480284.0,108774720.32,1.01
2020-10-16,ARKK,STRATASYS LTD,SSYS,7491022.0,108395088.34,1.01
2020-10-16,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,199419.0,111475221.0,1.04
2020-10-16,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,1100727.0,111503645.1,1.04
2020-10-16,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2859812.0,114993040.52,1.07
2020-10-16,ARKK,PINTEREST INC- CLASS A,PINS,2755134.0,121391204.04,1.13
2020-10-16,ARKK,CERUS CORP,CERS,19297523.0,124083072.89,1.15
2020-10-16,ARKK,MORGAN STANLEY GOVT INSTL 8035,,129271849.27,129271849.27,1.2
2020-10-16,ARKK,DOCUSIGN INC,DOCU,557676.0,130830789.6,1.22
2020-10-16,ARKK,SPLUNK INC,SPLK,746859.0,154749184.79999998,1.44
2020-10-16,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,1815350.0,157390845.0,1.46
2020-10-16,ARKK,TWIST BIOSCIENCE CORP,TWST,1667559.0,158284700.28,1.47
2020-10-16,ARKK,TWILIO INC - A,TWLO,494346.0,161389138.62,1.5
2020-10-16,ARKK,COMPUGEN LTD,CGEN,10985448.0,173679932.88,1.61
2020-10-16,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6850930.0,178877782.29999998,1.66
2020-10-16,ARKK,VERACYTE INC,VCYT,4259387.0,182386951.34,1.69
2020-10-16,ARKK,ILLUMINA INC,ILMN,608801.0,198657854.31,1.85
2020-10-16,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,783711.0,205763323.05,1.91
2020-10-16,ARKK,PAGERDUTY INC,PD,7198015.0,219251536.9,2.04
2020-10-16,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,6278167.0,236310205.88,2.2
2020-10-16,ARKK,EDITAS MEDICINE INC,EDIT,7170082.0,241344960.12,2.24
2020-10-16,ARKK,MATERIALISE NV-ADR,MTLS,5125641.0,246235793.64,2.29
2020-10-16,ARKK,TELADOC HEALTH INC,TDOC,1249244.0,276445204.76,2.57
2020-10-16,ARKK,SERES THERAPEUTICS INC,MCRB,8422971.0,286802162.54999995,2.66
2020-10-16,ARKK,2U INC,TWOU,8154344.0,290294646.40000004,2.7
2020-10-16,ARKK,PURE STORAGE INC - CLASS A,PSTG,16046103.0,293162301.81,2.72
2020-10-16,ARKK,LENDINGTREE INC,TREE UW,897984.0,303087559.68,2.82
2020-10-16,ARKK,ZILLOW GROUP INC - C,Z,3193739.0,310143994.29,2.88
2020-10-16,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,10713810.0,345520372.5,3.21
2020-10-16,ARKK,PROTO LABS INC,PRLB,2562240.0,373805193.6,3.47
2020-10-16,ARKK,ROKU INC,ROKU,2683170.0,596522354.4,5.54
2020-10-16,ARKK,CRISPR THERAPEUTICS AG,CRSP,5566294.0,611346070.02,5.68
2020-10-16,ARKK,SQUARE INC - A,SQ,3773026.0,703103395.1,6.53
2020-10-16,ARKK,INVITAE CORP,NVTA,17671295.0,831081003.85,7.72
2020-10-16,ARKK,TESLA INC,TSLA,2466031.0,1084239849.77,10.07
2020-10-19,ARKK,ORGANOVO HOLDINGS INC,ONVO,838729.0,7531786.42,0.07
2020-10-19,ARKK,DOUYU INTERNATIONAL HOLD-ADR,DOYU,1489881.0,23659310.28,0.22
2020-10-19,ARKK,EXONE CO/THE,XONE,2012565.0,23547010.5,0.22
2020-10-19,ARKK,MORGAN STANLEY GOVT INSTL 8035,,34128315.55,34128315.55,0.32
2020-10-19,ARKK,SEA LTD-ADR,SE,310428.0,50550095.52,0.48
2020-10-19,ARKK,UNITY SOFTWARE INC,U,570896.0,50981012.8,0.48
2020-10-19,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,707924.0,51062558.12,0.48
2020-10-19,ARKK,SYROS PHARMACEUTICALS INC,SYRS,6554634.0,55321110.95999999,0.52
2020-10-19,ARKK,XILINX INC,XLNX,547181.0,63680924.78,0.6
2020-10-19,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1068058.0,73386265.17999999,0.69
2020-10-19,ARKK,FACEBOOK INC-CLASS A,FB,328459.0,85859182.6,0.81
2020-10-19,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6447754.0,96393922.3,0.91
2020-10-19,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,3455361.0,97544841.03,0.92
2020-10-19,ARKK,ZSCALER INC,ZS,681767.0,104426251.39,0.98
2020-10-19,ARKK,HUYA INC-ADR,HUYA,4568343.0,105071889.0,0.99
2020-10-19,ARKK,SYNOPSYS INC,SNPS,480284.0,107761321.08,1.01
2020-10-19,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,1100727.0,108366573.15,1.02
2020-10-19,ARKK,STRATASYS LTD,SSYS,7491022.0,107945627.02,1.02
2020-10-19,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,199419.0,113337794.46,1.07
2020-10-19,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2859812.0,113505938.28,1.07
2020-10-19,ARKK,CERUS CORP,CERS,19297523.0,124276048.12,1.17
2020-10-19,ARKK,PINTEREST INC- CLASS A,PINS,2755134.0,126240239.88,1.19
2020-10-19,ARKK,DOCUSIGN INC,DOCU,557676.0,127378775.16,1.2
2020-10-19,ARKK,SPLUNK INC,SPLK,746859.0,154764121.98,1.46
2020-10-19,ARKK,TWIST BIOSCIENCE CORP,TWST,1667559.0,155082987.0,1.46
2020-10-19,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,1815350.0,158952046.0,1.5
