date,fund,company,ticker,shares,market value($),weight(%)
2021-02-16,ARKQ,2U INC,TWOU,1201373.0,65390732.39,1.57
2021-02-16,ARKQ,AEROVIRONMENT INC,AVAV,644955.0,86662603.35,2.08
2021-02-16,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,151099.0,40902499.3,0.98
2021-02-16,ARKQ,ALPHABET INC-CL C,GOOG,69530.0,147535707.0,3.54
2021-02-16,ARKQ,AMAZON.COM INC,AMZN,13652.0,44627705.4,1.07
2021-02-16,ARKQ,ANSYS INC,ANSS,120007.0,48226013.02,1.16
2021-02-16,ARKQ,APPLE INC,AAPL,278530.0,37097410.7,0.89
2021-02-16,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,372574.0,5268196.36,0.13
2021-02-16,ARKQ,AUTODESK INC,ADSK,104156.0,32102962.32,0.77
2021-02-16,ARKQ,BAIDU INC - SPON ADR,BIDU,676272.0,220599926.4,5.29
2021-02-16,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1470980.0,101497620.0,2.43
2021-02-16,ARKQ,CATERPILLAR INC,CAT,500047.0,101199511.86,2.43
2021-02-16,ARKQ,DEERE & CO,DE,543559.0,172357123.31,4.13
2021-02-16,ARKQ,ELBIT SYSTEMS LTD,ESLT,271004.0,38918884.44,0.93
2021-02-16,ARKQ,EXONE CO/THE,XONE,997483.0,49116062.92,1.18
2021-02-16,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,1348669.0,25085243.4,0.6
2021-02-16,ARKQ,FLIR SYSTEMS INC,FLIR,771553.0,42319682.05,1.01
2021-02-16,ARKQ,HONEYWELL INTERNATIONAL INC,HON,70488.0,14340078.72,0.34
2021-02-16,ARKQ,INTUITIVE SURGICAL INC,ISRG,83502.0,66129408.9,1.58
2021-02-16,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,2044825.0,100257769.75,2.4
2021-02-16,ARKQ,JD.COM INC-ADR,JD,1725816.0,178501148.88,4.28
2021-02-16,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,3724499.0,115047911.86,2.76
2021-02-16,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,4916663.0,162102379.11,3.88
2021-02-16,ARKQ,LOCKHEED MARTIN CORP,LMT,284696.0,95381700.88,2.29
2021-02-16,ARKQ,MAGNA INTERNATIONAL INC,MGA,748144.0,58691896.8,1.41
2021-02-16,ARKQ,MATERIALISE NV-ADR,MTLS,2045445.0,144694779.3,3.47
2021-02-16,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,49817624.97,49817624.97,1.19
2021-02-16,ARKQ,NANO DIMENSION LTD - ADR,NNDM,7265057.0,105561278.21,2.53
2021-02-16,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1669897.0,82543008.71,1.98
2021-02-16,ARKQ,NVIDIA CORP,NVDA,166581.0,102149135.01,2.45
2021-02-16,ARKQ,NXP SEMICONDUCTORS NV,NXPI,666135.0,130182763.05,3.12
2021-02-16,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.0,3385323.05,0.08
2021-02-16,ARKQ,PACCAR INC,PCAR,404188.0,39258780.44,0.94
2021-02-16,ARKQ,PROTO LABS INC,PRLB,258782.0,46699799.72,1.12
2021-02-16,ARKQ,RAVEN INDUSTRIES INC,RAVN,1126633.0,42654325.38,1.02
2021-02-16,ARKQ,ROCKWELL AUTOMATION INC,ROK,168343.0,42038613.96,1.01
2021-02-16,ARKQ,SPLUNK INC,SPLK,1239.0,209762.7,0.01
2021-02-16,ARKQ,STRATASYS LTD,SSYS,1476289.0,72441501.23,1.74
2021-02-16,ARKQ,SYNOPSYS INC,SNPS,301178.0,87543409.26,2.1
2021-02-16,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,747280.0,104656564.0,2.51
2021-02-16,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,215748.0,84221546.76,2.02
2021-02-16,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,525690.0,50518809.0,1.21
2021-02-16,ARKQ,TERADYNE INC,TER,1066100.0,153134604.0,3.67
2021-02-16,ARKQ,TESLA INC,TSLA,491747.0,391538796.34,9.38
2021-02-16,ARKQ,TRIMBLE INC,TRMB,2414695.0,181512623.15,4.35
2021-02-16,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1552992.0,78208677.12,1.87
2021-02-16,ARKQ,WORKHORSE GROUP INC,WKHS,2529727.0,86288987.97,2.07
2021-02-16,ARKQ,XILINX INC,XLNX,308718.0,44017012.44,1.05
