date,fund,company,ticker,shares,market value($),weight(%)
2021-03-31,ARKX,AEROVIRONMENT INC,AVAV,8450.0,993889.0,1.56
2021-03-31,ARKX,AIRBUS SE,AIR,8928.0,1022298.06,1.61
2021-03-31,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,4408.0,1010534.0,1.59
2021-03-31,ARKX,ALPHABET INC-CL C,GOOG,854.0,1755431.16,2.76
2021-03-31,ARKX,AMAZON.COM INC,AMZN,612.0,1869837.48,2.94
2021-03-31,ARKX,ANSYS INC,ANSS,1837.0,609681.93,0.96
2021-03-31,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,44755.0,452920.6,0.71
2021-03-31,ARKX,AUTODESK INC,ADSK,1898.0,509480.14,0.8
2021-03-31,ARKX,BOEING CO/THE,BA,8990.0,2265569.9,3.57
2021-03-31,ARKX,DASSAULT SYSTEMES SE,DSY,7502.0,1590099.74,2.5
2021-03-31,ARKX,DEERE & CO,DE,5327.0,1991871.84,3.14
2021-03-31,ARKX,ELBIT SYSTEMS LTD,ESLT,6613.0,935078.2,1.47
2021-03-31,ARKX,GARMIN LTD,GRMN U,9797.0,1280761.81,2.02
2021-03-31,ARKX,HEICO CORP,HEI,5756.0,712592.8,1.12
2021-03-31,ARKX,HONEYWELL INTERNATIONAL INC,HON,3245.0,707702.05,1.11
2021-03-31,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,69311.0,2758577.8,4.34
2021-03-31,ARKX,JD.COM INC-ADR,JD,37350.0,3100050.0,4.88
2021-03-31,ARKX,KOMATSU LTD,6301,93188.0,2938333.73,4.63
2021-03-31,ARKX,KRATOS DEFENSE & SECURITY,KTOS,134895.0,3766268.4,5.93
2021-03-31,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,15613.0,3170688.04,4.99
2021-03-31,ARKX,LOCKHEED MARTIN CORP,LMT,7654.0,2836113.16,4.47
2021-03-31,ARKX,MEITUAN-CLASS B,3690,12576.0,474956.73,0.75
2021-03-31,ARKX,NETFLIX INC,NFLX,1589.0,815776.71,1.28
2021-03-31,ARKX,NVIDIA CORP,NVDA,4041.0,2080589.67,3.28
2021-03-31,ARKX,RAVEN INDUSTRIES INC,RAVN,31405.0,1173918.9,1.85
2021-03-31,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,45000.0,458550.0,0.72
2021-03-31,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,42063.0,2082118.5,3.28
2021-03-31,ARKX,SYNOPSYS INC,SNPS,2572.0,616251.2,0.97
2021-03-31,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,5450.0,627131.5,0.99
2021-03-31,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,3980.0,1609551.8,2.53
2021-03-31,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,7837.0,617790.71,0.97
2021-03-31,ARKX,TERADYNE INC,TER,14389.0,1668548.44,2.63
2021-03-31,ARKX,THALES SA,HO,25234.0,2519732.78,3.97
2021-03-31,ARKX,THE 3D PRINTING ETF,PRNT,100170.0,3808463.4,6.0
2021-03-31,ARKX,TRIMBLE INC,TRMB,70782.0,5382263.28,8.47
2021-03-31,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,41146.0,1240140.44,1.95
2021-03-31,ARKX,WORKHORSE GROUP INC,WKHS,49167.0,658837.8,1.04
2021-03-31,ARKX,XILINX INC,XLNX,5082.0,611364.6,0.96
