date,fund,company,ticker,shares,market value($),weight(%)
2020-10-16,ARKW,TESLA INC,TSLA,680004.0,298977358.68,9.99
2020-10-16,ARKW,ROKU INC,ROKU,896064.0,199212948.48,6.66
2020-10-16,ARKW,SQUARE INC - A,SQ,1007924.0,187826637.4,6.27
2020-10-16,ARKW,FACEBOOK INC-CLASS A,FB,350032.0,93084009.76,3.11
2020-10-16,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,2862719.0,92322687.75,3.08
2020-10-16,ARKW,PURE STORAGE INC - CLASS A,PSTG,4900095.0,89524735.64999999,2.99
2020-10-16,ARKW,PINTEREST INC- CLASS A,PINS,1945752.0,85729833.12,2.86
2020-10-16,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,312823.0,82131678.65,2.74
2020-10-16,ARKW,LENDINGTREE INC,TREE UW,241928.0,81655538.56,2.73
2020-10-16,ARKW,PAGERDUTY INC,PD,2650074.0,80721254.04,2.7
2020-10-16,ARKW,TWILIO INC - A,TWLO,234352.0,76508897.44000001,2.56
2020-10-16,ARKW,SEA LTD-ADR,SE,447573.0,73939059.6,2.47
2020-10-16,ARKW,2U INC,TWOU,1932824.0,68808534.4,2.3
2020-10-16,ARKW,HUYA INC-ADR,HUYA,3063276.0,67974094.44,2.27
2020-10-16,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,929313.0,67579641.36,2.26
2020-10-16,ARKW,ZILLOW GROUP INC - C,Z,681233.0,66154536.63,2.21
2020-10-16,ARKW,TELADOC HEALTH INC,TDOC,298044.0,65954156.76,2.2
2020-10-16,ARKW,SNAP INC - A,SNAP,2361078.0,65708800.74,2.2
2020-10-16,ARKW,VERACYTE INC,VCYT,1514815.0,64864378.3,2.17
2020-10-16,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,4901551.0,60926278.93,2.04
2020-10-16,ARKW,MERCADOLIBRE INC,MELI,42903.0,54546016.14000001,1.82
2020-10-16,ARKW,AMAZON.COM INC,AMZN,16597.0,54317167.87,1.81
2020-10-16,ARKW,SPLUNK INC,SPLK,255694.0,52979796.8,1.77
2020-10-16,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,171936.0,52837652.16,1.77
2020-10-16,ARKW,NETFLIX INC,NFLX,93033.0,49380986.07,1.65
2020-10-16,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,475762.0,48194690.6,1.61
2020-10-16,ARKW,TRADE DESK INC/THE -CLASS A,TTD,72094.0,43616870.0,1.46
2020-10-16,ARKW,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,1681824.0,38530587.84,1.29
2020-10-16,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,266611.0,38749242.74,1.29
2020-10-16,ARKW,HUBSPOT INC,HUBS,113770.0,35412050.2,1.18
2020-10-16,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,382709.0,33180870.3,1.11
2020-10-16,ARKW,PAYPAL HOLDINGS INC,PYPL,162362.0,33194910.9,1.11
2020-10-16,ARKW,FASTLY INC - CLASS A,FSLY,393924.0,33353545.08,1.11
2020-10-16,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,154070.0,31961821.5,1.07
2020-10-16,ARKW,OKTA INC,OKTA,128493.0,31345867.35,1.05
2020-10-16,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,54604.0,30523636.0,1.02
2020-10-16,ARKW,NVIDIA CORP,NVDA,55247.0,30521757.62,1.02
2020-10-16,ARKW,ADYEN NV-UNSPON ADR,ADYEY,792468.0,30351524.4,1.01
2020-10-16,ARKW,TWITTER INC,TWTR,659088.0,30192821.28,1.01
2020-10-16,ARKW,UNITY SOFTWARE INC,U,325588.0,30136425.28,1.01
2020-10-16,ARKW,DOCUSIGN INC,DOCU,125266.0,29387403.6,0.98
2020-10-16,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,426233.0,29346142.05,0.98
2020-10-16,ARKW,SYNOPSYS INC,SNPS,127941.0,28976077.68,0.97
2020-10-16,ARKW,ADOBE INC,ADBE,57045.0,28683366.9,0.96
2020-10-16,ARKW,JD.COM INC-ADR,JD,348272.0,28391133.44,0.95
2020-10-16,ARKW,LENDINGCLUB CORP,LC,4839190.0,24099166.200000003,0.81
2020-10-16,ARKW,XILINX INC,XLNX,162541.0,19183088.82,0.64
2020-10-16,ARKW,CLOUDFLARE INC - CLASS A,NET,274150.0,15980203.5,0.53
2020-10-16,ARKW,ZSCALER INC,ZS,102709.0,15904488.65,0.53
2020-10-16,ARKW,WIX.COM LTD,WIX,46471.0,12842725.56,0.43
2020-10-16,ARKW,MORGAN STANLEY GOVT INSTL 8035,,7300485.14,7300485.14,0.24
2020-10-16,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,20944.0,203366.24,0.01
2020-10-16,ARKW,SALESFORCE.COM INC,CRM,622.0,160818.1,0.01
2020-10-19,ARKW,TESLA INC,TSLA,680004.0,292966123.32,9.84
2020-10-19,ARKW,ROKU INC,ROKU,896064.0,199051656.96,6.69
2020-10-19,ARKW,SQUARE INC - A,SQ,1007924.0,188441471.04,6.33
2020-10-19,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,2862719.0,92322687.75,3.1
2020-10-19,ARKW,FACEBOOK INC-CLASS A,FB,350032.0,91498364.8,3.07
2020-10-19,ARKW,PURE STORAGE INC - CLASS A,PSTG,4900095.0,90210748.95,3.03
2020-10-19,ARKW,PINTEREST INC- CLASS A,PINS,1945752.0,89154356.64,2.99
2020-10-19,ARKW,PAGERDUTY INC,PD,2650074.0,81489775.5,2.74
2020-10-19,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,312823.0,81649931.23,2.74
2020-10-19,ARKW,LENDINGTREE INC,TREE UW,241928.0,81205552.48,2.73
2020-10-19,ARKW,TWILIO INC - A,TWLO,234352.0,77240075.67999999,2.59
2020-10-19,ARKW,SEA LTD-ADR,SE,447573.0,72882787.32000001,2.45
2020-10-19,ARKW,HUYA INC-ADR,HUYA,3063276.0,70455348.0,2.37
2020-10-19,ARKW,2U INC,TWOU,1932824.0,68190030.72,2.29
2020-10-19,ARKW,SNAP INC - A,SNAP,2361078.0,67668495.48,2.27
2020-10-19,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,929313.0,67031346.69,2.25
2020-10-19,ARKW,ZILLOW GROUP INC - C,Z,681233.0,67067388.85,2.25
2020-10-19,ARKW,TELADOC HEALTH INC,TDOC,298044.0,66669462.36,2.24
2020-10-19,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,4901551.0,62886899.33,2.11
2020-10-19,ARKW,VERACYTE INC,VCYT,1514815.0,62955711.400000006,2.11
2020-10-19,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,614560.0,60503432.0,2.03
2020-10-19,ARKW,MERCADOLIBRE INC,MELI,42903.0,55089597.15,1.85
2020-10-19,ARKW,AMAZON.COM INC,AMZN,16597.0,53230064.37,1.79
2020-10-19,ARKW,SPLUNK INC,SPLK,255694.0,52984910.68,1.78
2020-10-19,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,171936.0,52490341.440000005,1.76
2020-10-19,ARKW,NETFLIX INC,NFLX,93033.0,49374473.760000005,1.66
2020-10-19,ARKW,TRADE DESK INC/THE -CLASS A,TTD,72094.0,44574999.26,1.5
2020-10-19,ARKW,FASTLY INC - CLASS A,FSLY,464124.0,38754354.0,1.3
2020-10-19,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,266611.0,38567947.26,1.3
2020-10-19,ARKW,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,1681824.0,35890124.16,1.21
2020-10-19,ARKW,HUBSPOT INC,HUBS,113770.0,35455282.8,1.19
2020-10-19,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,382709.0,33510000.04,1.13
2020-10-19,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,154070.0,32807665.8,1.1
2020-10-19,ARKW,PAYPAL HOLDINGS INC,PYPL,162362.0,32482141.72,1.09
2020-10-19,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,54604.0,31033637.360000003,1.04
2020-10-19,ARKW,OKTA INC,OKTA,128493.0,31106870.37,1.04
2020-10-19,ARKW,ADYEN NV-UNSPON ADR,ADYEY,792468.0,30359449.08,1.02
2020-10-19,ARKW,TWITTER INC,TWTR,659088.0,30199412.16,1.01
2020-10-19,ARKW,NVIDIA CORP,NVDA,55247.0,29828407.77,1.0
2020-10-19,ARKW,UNITY SOFTWARE INC,U,325588.0,29075008.4,0.98
2020-10-19,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,426233.0,29286469.43,0.98
2020-10-19,ARKW,SYNOPSYS INC,SNPS,127941.0,28706122.17,0.96
2020-10-19,ARKW,DOCUSIGN INC,DOCU,125266.0,28612007.06,0.96
2020-10-19,ARKW,ADOBE INC,ADBE,57045.0,28248684.0,0.95
2020-10-19,ARKW,JD.COM INC-ADR,JD,348272.0,28074205.92,0.94
2020-10-19,ARKW,LENDINGCLUB CORP,LC,4805231.0,23593684.21,0.79
2020-10-19,ARKW,CLOUDFLARE INC - CLASS A,NET,274150.0,15974720.5,0.54
2020-10-19,ARKW,WIX.COM LTD,WIX,46471.0,12932879.3,0.43
2020-10-19,ARKW,MORGAN STANLEY GOVT INSTL 8035,,10162654.44,10162654.44,0.34
2020-10-19,ARKW,AGORA INC-ADR,API,71265.0,3097176.9,0.1
2020-10-19,ARKW,SALESFORCE.COM INC,CRM,622.0,158616.22,0.01
2020-10-19,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,20944.0,200434.08,0.01
2020-10-20,ARKW,TESLA INC,TSLA,684036.0,288622149.84,9.68
2020-10-20,ARKW,ROKU INC,ROKU,901377.0,196860736.8,6.6
2020-10-20,ARKW,SQUARE INC - A,SQ,1013900.0,188321786.0,6.32
2020-10-20,ARKW,FACEBOOK INC-CLASS A,FB,352108.0,94210016.48,3.16
2020-10-20,ARKW,PURE STORAGE INC - CLASS A,PSTG,4929147.0,89956932.75,3.02
2020-10-20,ARKW,PINTEREST INC- CLASS A,PINS,1957287.0,88704246.84,2.98
2020-10-20,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,2879693.0,88723341.33,2.98
2020-10-20,ARKW,LENDINGTREE INC,TREE UW,243362.0,84001261.54,2.82
2020-10-20,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,314677.0,82114963.14999999,2.75
2020-10-20,ARKW,PAGERDUTY INC,PD,2665788.0,80240218.8,2.69
2020-10-20,ARKW,SEA LTD-ADR,SE,450225.0,75129045.75,2.52
2020-10-20,ARKW,TWILIO INC - A,TWLO,235741.0,72933550.58,2.45
2020-10-20,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,934824.0,68008446.0,2.28
2020-10-20,ARKW,SNAP INC - A,SNAP,2375076.0,67570912.2,2.27
2020-10-20,ARKW,2U INC,TWOU,1932824.0,67668168.24,2.27
2020-10-20,ARKW,ZILLOW GROUP INC - C,Z,685271.0,67451224.53,2.26
2020-10-20,ARKW,HUYA INC-ADR,HUYA,3081438.0,67452677.82000001,2.26
2020-10-20,ARKW,TELADOC HEALTH INC,TDOC,299811.0,66626998.53,2.24
2020-10-20,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,4930615.0,65626485.650000006,2.2
2020-10-20,ARKW,VERACYTE INC,VCYT,1523797.0,62567104.82,2.1
2020-10-20,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,618202.0,61789289.9,2.07
2020-10-20,ARKW,MERCADOLIBRE INC,MELI,43158.0,57558098.28,1.93
2020-10-20,ARKW,SPLUNK INC,SPLK,257209.0,54412563.95,1.83
2020-10-20,ARKW,AMAZON.COM INC,AMZN,16696.0,53711198.96,1.8
