date,fund,company,ticker,shares,market value($),weight(%)
2021-02-16,ARKK,10X GENOMICS INC-CLASS A,TXG,1573381.0,302765705.83,1.08
2021-02-16,ARKK,2U INC,TWOU,7990138.0,434903211.34,1.55
2021-02-16,ARKK,BAIDU INC - SPON ADR,BIDU,2988063.0,974706150.6,3.48
2021-02-16,ARKK,BEAM THERAPEUTICS INC,BEAM,398235.0,41914233.75,0.15
2021-02-16,ARKK,CERUS CORP,CERS,18908953.0,146544385.75,0.52
2021-02-16,ARKK,COMPUGEN LTD,CGEN,9948450.0,130125726.0,0.47
2021-02-16,ARKK,CRISPR THERAPEUTICS AG,CRSP,6021490.0,935257826.8,3.34
2021-02-16,ARKK,DOCUSIGN INC,DOCU,2072430.0,548551496.7,1.96
2021-02-16,ARKK,EDITAS MEDICINE INC,EDIT,6601876.0,372675900.2,1.33
2021-02-16,ARKK,EXACT SCIENCES CORP,EXAS,3706408.0,571824626.24,2.04
2021-02-16,ARKK,FATE THERAPEUTICS INC,FATE,1041823.0,105682525.12,0.38
2021-02-16,ARKK,HUYA INC-ADR,HUYA,6823881.0,230237744.94,0.82
2021-02-16,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6404582.0,436472263.3,1.56
2021-02-16,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,3306421.0,371707848.82,1.33
2021-02-16,ARKK,INVITAE CORP,NVTA,17315474.0,849670309.18,3.04
2021-02-16,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10992978.0,519967859.4,1.86
2021-02-16,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,6844028.0,335562692.84,1.2
2021-02-16,ARKK,KE HOLDINGS INC,BEKE,5925673.0,402945764.0,1.44
2021-02-16,ARKK,LENDINGTREE INC,TREE UW,1214328.0,428548494.48,1.53
2021-02-16,ARKK,MATERIALISE NV-ADR,MTLS,5751793.0,406881836.82,1.45
2021-02-16,ARKK,MORGAN STANLEY GOVT INSTL 8035,,213711352.41,213711352.41,0.76
2021-02-16,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1811792.0,142479322.88,0.51
2021-02-16,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4578435.0,373600296.0,1.34
2021-02-16,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,3046092.0,278595574.32,1.0
2021-02-16,ARKK,ORGANOVO HOLDINGS INC,ONVO ,168284.0,2889436.28,0.01
2021-02-16,ARKK,PACCAR INC,PCAR,2816717.0,273587722.21,0.98
2021-02-16,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7198463.0,333792729.31,1.19
2021-02-16,ARKK,PAGERDUTY INC,PD,7491490.0,414953631.1,1.48
2021-02-16,ARKK,PAYPAL HOLDINGS INC,PYPL,2157862.0,657694758.98,2.35
2021-02-16,ARKK,PINTEREST INC- CLASS A,PINS,1603080.0,142914582.0,0.51
2021-02-16,ARKK,PROTO LABS INC,PRLB,3084347.0,556601259.62,1.99
2021-02-16,ARKK,PURE STORAGE INC - CLASS A,PSTG,21147866.0,594255034.6,2.12
2021-02-16,ARKK,REGENERON PHARMACEUTICALS,REGN,581911.0,279730436.81,1.0
2021-02-16,ARKK,ROKU INC,ROKU,4092845.0,1922409296.5,6.87
2021-02-16,ARKK,SEA LTD-ADR,SE,1374101.0,382192452.14,1.37
2021-02-16,ARKK,SERES THERAPEUTICS INC,MCRB,7972940.0,198605935.4,0.71
2021-02-16,ARKK,SHOPIFY INC - CLASS A,SHOP,492875.0,726497750.0,2.6
2021-02-16,ARKK,SNAP INC - A,SNAP,2296806.0,144262384.86,0.52
2021-02-16,ARKK,SPLUNK INC,SPLK,499055.0,84490011.5,0.3
2021-02-16,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2581436.0,913131356.28,3.26
2021-02-16,ARKK,SQUARE INC - A,SQ,5241960.0,1446885799.2,5.17
2021-02-16,ARKK,STRATASYS LTD,SSYS,6826400.0,334971448.0,1.2
2021-02-16,ARKK,SYNOPSYS INC,SNPS,940322.0,273323395.74,0.98
2021-02-16,ARKK,SYROS PHARMACEUTICALS INC,SYRS,5015568.0,60136660.32,0.21
2021-02-16,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3581423.0,501578291.15,1.79
2021-02-16,ARKK,TELADOC HEALTH INC,TDOC,4943967.0,1439732630.07,5.15
2021-02-16,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,6487602.0,623458552.2,2.23
2021-02-16,ARKK,TERADYNE INC,TER,1084152.0,155727593.28,0.56
2021-02-16,ARKK,TESLA INC,TSLA,2998298.0,2387304833.56,8.53
2021-02-16,ARKK,TWILIO INC - A,TWLO,1457505.0,613988556.3,2.19
2021-02-16,ARKK,TWIST BIOSCIENCE CORP,TWST,3130101.0,489078281.25,1.75
2021-02-16,ARKK,UNITY SOFTWARE INC,U,3632022.0,455491879.02,1.63
2021-02-16,ARKK,VERACYTE INC,VCYT,4802280.0,358538224.8,1.28
2021-02-16,ARKK,ZILLOW GROUP INC - C,Z,5163857.0,1032255014.3,3.69
2021-02-16,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1396445.0,620733766.95,2.22
