date,fund,company,ticker,shares,market value($),weight(%)
2021-06-29,ARKK,10X GENOMICS INC-CLASS A,TXG,2761667.0,556199733.8,2.19
2021-06-29,ARKK,2U INC,TWOU,5687345.0,229654991.1,0.91
2021-06-29,ARKK,BEAM THERAPEUTICS INC,BEAM,4708198.0,512487352.3,2.02
2021-06-29,ARKK,BERKELEY LIGHTS INC,BLI,3602153.0,177189906.07,0.7
2021-06-29,ARKK,CERUS CORP,CERS,13459063.0,77389612.25,0.31
2021-06-29,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,3674330.0,906420467.7,3.57
2021-06-29,ARKK,COMPUGEN LTD,CGEN,7080885.0,61603699.5,0.24
2021-06-29,ARKK,CRISPR THERAPEUTICS AG,CRSP,5058394.0,767004282.22,3.02
2021-06-29,ARKK,DOCUSIGN INC,DOCU,2172429.0,617295700.35,2.43
2021-06-29,ARKK,DRAFTKINGS INC - CL A,DKNG,8958591.0,472207331.61,1.86
2021-06-29,ARKK,DREYFUS GOVT CASH MAN INS,,93623800.47,93623800.47,0.37
2021-06-29,ARKK,EDITAS MEDICINE INC,EDIT,4699126.0,206714552.74,0.81
2021-06-29,ARKK,EXACT SCIENCES CORP,EXAS,5858998.0,767587327.98,3.03
2021-06-29,ARKK,FATE THERAPEUTICS INC,FATE,3449328.0,307404111.36,1.21
2021-06-29,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4558680.0,608264672.4,2.4
2021-06-29,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,96296.0,11439001.84,0.05
2021-06-29,ARKK,INVITAE CORP,NVTA,13075448.0,450710692.56,1.78
2021-06-29,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10666212.0,287241089.16,1.13
2021-06-29,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,8513389.0,359265015.8,1.42
2021-06-29,ARKK,KE HOLDINGS INC-ADR,BEKE,2700426.0,132185852.7,0.52
2021-06-29,ARKK,MATERIALISE NV-ADR,MTLS,4072176.0,96836345.28,0.38
2021-06-29,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1948576.0,134412772.48,0.53
2021-06-29,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3876593.0,285239712.94,1.12
2021-06-29,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,1009786.0,93203247.8,0.37
2021-06-29,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6502620.0,229802590.8,0.91
2021-06-29,ARKK,PAGERDUTY INC,PD,5740372.0,261473944.6,1.03
2021-06-29,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,23017820.0,630227911.6,2.48
2021-06-29,ARKK,PROTO LABS INC,PRLB,2195319.0,208028428.44,0.82
2021-06-29,ARKK,PURE STORAGE INC - CLASS A,PSTG,7497342.0,149272079.22,0.59
2021-06-29,ARKK,ROKU INC,ROKU,3595469.0,1583192864.77,6.24
2021-06-29,ARKK,SEA LTD-ADR,SE,1413070.0,397242238.4,1.57
2021-06-29,ARKK,SERES THERAPEUTICS INC,MCRB,5675059.0,138244437.24,0.55
2021-06-29,ARKK,SHOPIFY INC - CLASS A,SHOP,745039.0,1113825854.61,4.39
2021-06-29,ARKK,SKILLZ INC,SKLZ,15780852.0,343864765.08,1.36
2021-06-29,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3405809.0,924881492.04,3.65
2021-06-29,ARKK,SQUARE INC - A,SQ,4564619.0,1125635045.4,4.44
2021-06-29,ARKK,STRATASYS LTD,SSYS,4571515.0,126585250.35,0.5
2021-06-29,ARKK,TELADOC HEALTH INC,TDOC,8823121.0,1503636280.82,5.93
2021-06-29,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2905938.0,224047819.8,0.88
2021-06-29,ARKK,TERADYNE INC,TER,1974880.0,262165320.0,1.03
2021-06-29,ARKK,TESLA INC,TSLA,3584019.0,2468385565.68,9.73
2021-06-29,ARKK,TRIMBLE INC,TRMB,1746709.0,142636256.94,0.56
2021-06-29,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,4704106.0,307178121.8,1.21
2021-06-29,ARKK,TWILIO INC - A,TWLO,2367710.0,933161865.2,3.68
2021-06-29,ARKK,TWIST BIOSCIENCE CORP,TWST,2227886.0,281471117.24,1.11
2021-06-29,ARKK,TWITTER INC,TWTR,6732435.0,459757986.15,1.81
2021-06-29,ARKK,UIPATH INC - CLASS A,PATH,5492253.0,391487793.84,1.54
2021-06-29,ARKK,UNITY SOFTWARE INC,U,7916358.0,874678395.42,3.45
2021-06-29,ARKK,VERACYTE INC,VCYT,3418137.0,143322484.41,0.57
2021-06-29,ARKK,ZILLOW GROUP INC - C,Z,6533706.0,811355611.08,3.2
2021-06-29,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2871926.0,1116777144.36,4.4
