date,fund,company,ticker,shares,market value($),weight(%)
2/5/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,1498561.0,278043007.94,1.08
2/5/2021,ARKK,2U INC,TWOU,7992456.0,369491240.88,1.43
2/5/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2846039.0,768800515.07,2.98
2/5/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,330700.0,38414112.0,0.15
2/5/2021,ARKK,CERUS CORP,CERS,18914439.0,142614870.06,0.55
2/5/2021,ARKK,COMPUGEN LTD,CGEN,9951336.0,129068827.92,0.5
2/5/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6023237.0,1016782637.97,3.95
2/5/2021,ARKK,DOCUSIGN INC,DOCU,1973874.0,494198833.38,1.92
2/5/2021,ARKK,EDITAS MEDICINE INC,EDIT,6603791.0,423038851.46,1.64
2/5/2021,ARKK,EXACT SCIENCES CORP,EXAS,3530241.0,510437546.19,1.98
2/5/2021,ARKK,FATE THERAPEUTICS INC,FATE,888296.0,93439856.24,0.36
2/5/2021,ARKK,HUYA INC-ADR,HUYA,6825861.0,182728298.97,0.71
2/5/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6406440.0,443389712.4,1.72
2/5/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,3149212.0,359608518.28,1.4
2/5/2021,ARKK,INVITAE CORP,NVTA,17320497.0,860828700.9,3.34
2/5/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10470449.0,519857792.85,2.02
2/5/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5732142.0,309191739.48,1.2
2/5/2021,ARKK,KE HOLDINGS INC,BEKE,5644016.0,353428281.92,1.37
2/5/2021,ARKK,LENDINGTREE INC,TREE UW,1214680.0,416197955.2,1.62
2/5/2021,ARKK,MATERIALISE NV-ADR,MTLS,5960033.0,423162343.0,1.64
2/5/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,81379967.24,81379967.24,0.32
2/5/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1725620.0,129645830.6,0.5
2/5/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4192930.0,315350265.3,1.22
2/5/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,2460276.0,222728786.28,0.86
2/5/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,448589.0,6697433.77,0.03
2/5/2021,ARKK,PACCAR INC,PCAR,2682808.0,259105596.64,1.01
2/5/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7200552.0,260803993.44,1.01
2/5/2021,ARKK,PAGERDUTY INC,PD,7493663.0,412076528.37,1.6
2/5/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,2055350.0,553793504.0,2.15
2/5/2021,ARKK,PINTEREST INC- CLASS A,PINS,1526884.0,125143412.64,0.49
2/5/2021,ARKK,PROTO LABS INC,PRLB,3085242.0,668140007.52,2.59
2/5/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,21842288.0,590833890.4,2.29
2/5/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,473526.0,236280003.48,0.92
2/5/2021,ARKK,ROKU INC,ROKU,3898313.0,1714828905.57,6.66
2/5/2021,ARKK,SEA LTD-ADR,SE,1308741.0,336032339.16,1.3
2/5/2021,ARKK,SERES THERAPEUTICS INC,MCRB,7975253.0,215650841.12,0.84
2/5/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,469483.0,604576733.25,2.35
2/5/2021,ARKK,SNAP INC - A,SNAP,2187585.0,139217909.4,0.54
2/5/2021,ARKK,SPLUNK INC,SPLK,790321.0,134544247.04,0.52
2/5/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2458800.0,764121276.0,2.97
2/5/2021,ARKK,SQUARE INC - A,SQ,4992810.0,1200171667.8,4.66
2/5/2021,ARKK,STRATASYS LTD,SSYS,6994760.0,361768987.2,1.4
2/5/2021,ARKK,SYNOPSYS INC,SNPS,895602.0,244427697.84,0.95
2/5/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,5017023.0,61960234.05,0.24
2/5/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3411142.0,435875724.76,1.69
2/5/2021,ARKK,TELADOC HEALTH INC,TDOC,4709015.0,1342210545.45,5.21
2/5/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,6179254.0,589500831.6,2.29
2/5/2021,ARKK,TERADYNE INC,TER,1032551.0,130225332.12,0.51
2/5/2021,ARKK,TESLA INC,TSLA,2855797.0,2433795877.31,9.45
2/5/2021,ARKK,TWILIO INC - A,TWLO,1388189.0,555358891.34,2.16
2/5/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,3025619.0,478108314.38,1.86
2/5/2021,ARKK,UNITY SOFTWARE INC,U,2658665.0,342010665.6,1.33
2/5/2021,ARKK,VERACYTE INC,VCYT,4803673.0,350860275.92,1.36
2/5/2021,ARKK,ZILLOW GROUP INC - C,Z,4918412.0,771059449.24,2.99
2/5/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1330053.0,558076938.27,2.17
