date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-06-09,ARKK,10X GENOMICS INC-CLASS A,TXG,2662267.0,497.98,187.05,0.0235,-47528.0,-8.89,126.06,49.8,0.3628,0.2842,Sell
2021-06-09,ARKK,2U INC,TWOU,5878071.0,215.67,36.69,0.0102,-472102.0,-17.32,-12.94,0.69,0.0192,-0.0973,Sell
2021-06-09,ARKK,BEAM THERAPEUTICS INC,BEAM,4538798.0,388.52,85.6,0.0183,12382.0,1.06,88.87,19.4,0.2931,0.2365,Buy
2021-06-09,ARKK,BERKELEY LIGHTS INC,BLI,3472513.0,151.19,43.54,0.0071,678.0,0.03,1.45,0.41,0.0095,-0.0405,Buy
2021-06-09,ARKK,CERUS CORP,CERS,13910478.0,78.46,5.64,0.0037,-1117267.0,-6.3,-6.15,0.01,0.0018,-0.119,Sell
2021-06-09,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,3135466.0,691.87,220.66,0.0326,911778.0,201.19,18.09,-82.34,-0.2717,-0.0181,Buy
2021-06-09,ARKK,COMPUGEN LTD,CGEN,7318439.0,56.06,7.66,0.0026,-587851.0,-4.5,-0.08,0.56,0.0789,-0.0714,Sell
2021-06-09,ARKK,CRISPR THERAPEUTICS AG,CRSP,4876394.0,579.85,118.91,0.0273,76803.0,9.13,82.9,15.37,0.1484,0.1143,Buy
2021-06-09,ARKK,DOCUSIGN INC,DOCU,2159582.0,523.31,242.32,0.0247,-196206.0,-47.54,61.62,46.34,0.2365,0.0881,Sell
2021-06-09,ARKK,DRAFTKINGS INC - CL A,DKNG,7950354.0,439.65,55.3,0.0207,1011352.0,55.93,134.27,11.29,0.2565,0.38,Buy
2021-06-09,ARKK,DREYFUS GOVT CASH MAN INS,,16782993.79,16.78,1.0,0.0008,-114322444.74,-114.32,-114.32,0.0,0.0,-0.8769,Sell
2021-06-09,ARKK,EDITAS MEDICINE INC,EDIT,4856728.0,174.79,35.99,0.0082,-390048.0,-14.04,2.7,3.19,0.0973,-0.0353,Sell
2021-06-09,ARKK,EXACT SCIENCES CORP,EXAS,5648077.0,644.05,114.03,0.0304,545877.0,62.25,144.03,16.03,0.1636,0.2358,Buy
2021-06-09,ARKK,FATE THERAPEUTICS INC,FATE,3325105.0,263.45,79.23,0.0124,-59280.0,-4.7,-0.53,1.23,0.0158,-0.0462,Sell
2021-06-09,ARKK,HUYA INC-ADR,HUYA,5189.0,0.08,16.3,0.0,-4588516.0,-74.79,-73.09,0.37,0.0232,-1.0,Sell
2021-06-09,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4711606.0,372.12,78.98,0.0175,-378457.0,-29.89,35.31,12.81,0.1936,0.0542,Sell
2021-06-09,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,670337.0,74.46,111.08,0.0035,-1092307.0,-121.33,-124.84,-1.99,-0.0176,-0.6429,Sell
2021-06-09,ARKK,INVITAE CORP,NVTA,13513961.0,402.04,29.75,0.019,-1085330.0,-32.29,-6.45,1.77,0.0633,-0.0547,Sell
2021-06-09,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,11023952.0,226.98,20.59,0.0107,84131.0,1.73,-63.03,-5.92,-0.2233,-0.2517,Buy
2021-06-09,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,8207059.0,316.46,38.56,0.0149,-146478.0,-5.65,8.3,1.67,0.0453,-0.0197,Sell
2021-06-09,ARKK,KE HOLDINGS INC-ADR,BEKE,2603266.0,119.83,46.03,0.0056,-1246184.0,-57.36,-65.87,-2.21,-0.0458,-0.3846,Sell
2021-06-09,ARKK,MATERIALISE NV-ADR,MTLS,4208799.0,118.73,28.21,0.0056,-338055.0,-9.54,3.83,2.94,0.1163,-0.0175,Sell
2021-06-09,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1878436.0,106.36,56.62,0.005,-33567.0,-1.9,-0.24,0.87,0.0156,-0.0566,Sell
2021-06-09,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3737085.0,291.49,78.0,0.0137,-625736.0,-48.81,-20.67,6.45,0.0901,-0.1104,Sell
2021-06-09,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,1207098.0,108.26,89.69,0.0051,-872516.0,-78.26,-73.51,2.28,0.0261,-0.4333,Sell
2021-06-09,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6268610.0,179.28,28.6,0.0085,434783.0,12.43,38.75,4.51,0.1872,0.2319,Buy
2021-06-09,ARKK,PAGERDUTY INC,PD,5511313.0,214.56,38.93,0.0101,-442624.0,-17.23,-1.57,2.63,0.0725,-0.0472,Sell
2021-06-09,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,22189666.0,540.98,24.38,0.0255,2580318.0,62.91,144.68,4.17,0.2063,0.3077,Buy
2021-06-09,ARKK,PROTO LABS INC,PRLB,2268956.0,199.9,88.1,0.0094,-182274.0,-16.06,-35.62,-7.98,-0.0831,-0.1897,Sell
2021-06-09,ARKK,PURE STORAGE INC - CLASS A,PSTG,8362460.0,159.72,19.1,0.0075,-3465359.0,-66.19,-51.4,1.25,0.07,-0.2788,Sell
2021-06-09,ARKK,ROKU INC,ROKU,3466109.0,1178.93,340.13,0.0556,-61908.0,-21.06,70.71,26.01,0.0828,0.0183,Sell
2021-06-09,ARKK,SEA LTD-ADR,SE,1362250.0,359.77,264.1,0.017,-24321.0,-6.42,42.56,35.33,0.1544,0.0897,Sell
2021-06-09,ARKK,SERES THERAPEUTICS INC,MCRB,5865410.0,115.55,19.7,0.0054,-471072.0,-9.28,-25.69,-2.59,-0.1162,-0.2286,Sell
2021-06-09,ARKK,SHOPIFY INC - CLASS A,SHOP,718299.0,884.04,1230.74,0.0417,3119.0,3.84,90.05,120.54,0.1086,0.0665,Buy
2021-06-09,ARKK,SKILLZ INC,SKLZ,15213074.0,351.27,23.09,0.0166,1153616.0,26.64,145.58,8.46,0.5783,0.6436,Buy
2021-06-09,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3283309.0,796.24,242.51,0.0375,162655.0,39.45,84.69,14.5,0.0636,0.0714,Buy
2021-06-09,ARKK,SQUARE INC - A,SQ,4400399.0,942.21,214.12,0.0444,116202.0,24.88,-3.09,-6.53,-0.0296,-0.0472,Buy
2021-06-09,ARKK,STRATASYS LTD,SSYS,4724868.0,109.66,23.21,0.0052,-379473.0,-8.81,6.25,2.95,0.1456,0.0196,Sell
2021-06-09,ARKK,TELADOC HEALTH INC,TDOC,8505741.0,1300.78,152.93,0.0613,-151847.0,-23.22,38.59,7.14,0.049,-0.0145,Sell
2021-06-09,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2801358.0,217.36,77.59,0.0102,-417212.0,-32.37,-28.86,1.09,0.0142,-0.157,Sell
2021-06-09,ARKK,TERADYNE INC,TER,1903721.0,241.35,126.78,0.0114,-126145.0,-15.99,-5.3,5.27,0.0434,-0.0579,Sell
2021-06-09,ARKK,TESLA INC,TSLA,3455079.0,2085.45,603.59,0.0983,30595.0,18.47,-28.14,-13.61,-0.0221,-0.0557,Buy
2021-06-09,ARKK,TRIMBLE INC,TRMB,1401214.0,109.83,78.38,0.0052,-25015.0,-1.96,0.76,1.91,0.025,-0.037,Sell
2021-06-09,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,4534846.0,206.06,45.44,0.0097,794385.0,36.1,63.66,7.37,0.1936,0.3857,Buy
2021-06-09,ARKK,TWILIO INC - A,TWLO,2282412.0,723.98,317.2,0.0341,91951.0,29.17,53.55,11.13,0.0364,0.0333,Buy
2021-06-09,ARKK,TWIST BIOSCIENCE CORP,TWST,2302629.0,241.78,105.0,0.0114,-184937.0,-19.42,-6.11,5.35,0.0537,-0.0656,Sell
2021-06-09,ARKK,TWITTER INC,TWTR,6490235.0,381.69,58.81,0.018,1381368.0,81.24,111.53,5.93,0.1121,0.3534,Buy
2021-06-09,ARKK,UIPATH INC - CLASS A,PATH,3811383.0,289.67,76.0,0.0137,1331074.0,101.16,104.11,1.19,0.0159,0.5055,Buy
2021-06-09,ARKK,UNITY SOFTWARE INC,U,7631560.0,748.27,98.05,0.0353,837284.0,82.1,173.89,13.51,0.1598,0.2473,Buy
2021-06-09,ARKK,VERACYTE INC,VCYT,3532823.0,121.53,34.4,0.0057,-283730.0,-9.76,-30.71,-5.49,-0.1376,-0.24,Sell
2021-06-09,ARKK,ZILLOW GROUP INC - C,Z,6298646.0,712.25,113.08,0.0336,59430.0,6.72,-3.89,-1.7,-0.0148,-0.0482,Buy
2021-06-09,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2768606.0,944.81,341.26,0.0445,250090.0,85.35,188.63,41.01,0.1366,0.1962,Buy
2021-06-09,ARKK,BAIDU INC - SPON ADR,BIDU,0.0,0.0,,0.0,758400.0,,-143.88,,,,Exit
2021-06-09,ARKK,LENDINGTREE INC,TREE UW,0.0,0.0,,0.0,553000.0,,-94.56,,,,Exit
2021-06-09,ARKK,ORGANOVO HOLDINGS INC,ONVO ,0.0,0.0,,0.0,78482.0,,-0.58,,,,Exit
2021-06-09,ARKK,PACCAR INC,PCAR,0.0,0.0,,0.0,24819.0,,-2.35,,,,Exit
2021-06-09,ARKK,REGENERON PHARMACEUTICALS,REGN,0.0,0.0,,0.0,4163.0,,-2.09,,,,Exit
2021-06-09,ARKK,SYNOPSYS INC,SNPS,0.0,0.0,,0.0,446939.0,,-104.95,,,,Exit
2021-06-09,ARKK,SYROS PHARMACEUTICALS INC,SYRS,0.0,0.0,,0.0,3985888.0,,-20.69,,,,Exit
