date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-03-30,ARKK,10X GENOMICS INC-CLASS A,TXG,1962463.0,317.0,161.53,0.0155,-14337.0,-2.32,-11.33,-4.56,-0.0275,0.0,Sell
2021-03-30,ARKK,2U INC,TWOU,7069284.0,265.95,37.62,0.013,-55506.0,-2.09,-7.65,-0.78,-0.0203,0.0078,Sell
2021-03-30,ARKK,BAIDU INC - SPON ADR,BIDU,3307036.0,676.95,204.7,0.033,-24165.0,-4.95,-17.97,-3.91,-0.0187,0.0092,Sell
2021-03-30,ARKK,BEAM THERAPEUTICS INC,BEAM,2789262.0,208.05,74.59,0.0101,236378.0,17.63,0.42,-6.74,-0.0829,0.0306,Buy
2021-03-30,ARKK,BERKELEY LIGHTS INC,BLI,2182689.0,97.11,44.49,0.0047,-15957.0,-0.71,-1.35,-0.29,-0.0065,0.0217,Sell
2021-03-30,ARKK,CERUS CORP,CERS,16729625.0,96.2,5.75,0.0047,-131341.0,-0.76,-4.3,-0.21,-0.0352,0.0,Sell
2021-03-30,ARKK,COMPUGEN LTD,CGEN,8801758.0,69.36,7.88,0.0034,-69107.0,-0.54,-2.94,-0.27,-0.0331,0.0,Sell
2021-03-30,ARKK,CRISPR THERAPEUTICS AG,CRSP,5327508.0,589.86,110.72,0.0288,-41818.0,-4.63,-7.42,-0.52,-0.0047,0.0249,Sell
2021-03-30,ARKK,DOCUSIGN INC,DOCU,2115990.0,417.7,197.4,0.0204,-15471.0,-3.05,-12.77,-4.56,-0.0226,0.0049,Sell
2021-03-30,ARKK,DRAFTKINGS INC - CL A,DKNG,2045094.0,119.02,58.2,0.0058,336807.0,19.6,10.38,-5.4,-0.0849,0.1373,Buy
2021-03-30,ARKK,EDITAS MEDICINE INC,EDIT,5841022.0,231.95,39.71,0.0113,-45849.0,-1.82,-6.35,-0.77,-0.019,0.0089,Sell
2021-03-30,ARKK,EXACT SCIENCES CORP,EXAS,4640978.0,556.13,119.83,0.0271,-33912.0,-4.06,-32.91,-6.17,-0.049,-0.0217,Sell
2021-03-30,ARKK,FATE THERAPEUTICS INC,FATE,2719806.0,197.92,72.77,0.0097,111070.0,8.08,9.67,0.61,0.0085,0.0899,Buy
2021-03-30,ARKK,HUYA INC-ADR,HUYA,6037332.0,120.44,19.95,0.0059,-47415.0,-0.95,-5.08,-0.68,-0.033,0.0,Sell
2021-03-30,ARKK,INTELLIA THERAPEUTICS INC,NTLA,5666440.0,370.08,65.31,0.0181,-44486.0,-2.91,0.41,0.58,0.009,0.0402,Sell
2021-03-30,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2501225.0,283.34,113.28,0.0138,-115581.0,-13.09,-14.04,-0.36,-0.0032,-0.0143,Sell
2021-03-30,ARKK,INVITAE CORP,NVTA,15319936.0,506.48,33.06,0.0247,-120263.0,-3.98,-25.44,-1.39,-0.0403,-0.012,Sell
2021-03-30,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,11223875.0,329.08,29.32,0.0161,-81997.0,-2.4,4.94,0.65,0.0227,0.0523,Sell
2021-03-30,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7336378.0,277.94,37.88,0.0136,-53593.0,-2.03,-3.84,-0.25,-0.0066,0.0226,Sell
2021-03-30,ARKK,KE HOLDINGS INC,BEKE,6041334.0,334.51,55.37,0.0163,-44145.0,-2.44,-8.41,-0.98,-0.0174,0.0124,Sell
2021-03-30,ARKK,LENDINGTREE INC,TREE UW,1011890.0,207.24,204.8,0.0101,-19433.0,-3.98,-5.26,-1.24,-0.006,0.01,Sell
2021-03-30,ARKK,MATERIALISE NV-ADR,MTLS,5061707.0,162.03,32.01,0.0079,-39730.0,-1.27,-3.62,-0.46,-0.0142,0.0128,Sell
2021-03-30,ARKK,MORGAN STANLEY GOVT INSTL 8035,,2381037.44,2.38,1.0,0.0001,-25078541.65,-25.08,-25.08,0.0,0.0,-0.9231,Sell
2021-03-30,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1849879.0,108.37,58.58,0.0053,-13527.0,-0.79,-9.07,-4.44,-0.0705,-0.0364,Sell
2021-03-30,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4612331.0,335.78,72.8,0.0164,-33696.0,-2.45,-3.94,-0.32,-0.0044,0.025,Sell
2021-03-30,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,2602244.0,227.31,87.35,0.0111,-19008.0,-1.66,-1.82,-0.06,-0.0007,0.0278,Sell
2021-03-30,ARKK,PACCAR INC,PCAR,2311408.0,215.4,93.19,0.0105,-130712.0,-12.18,-13.38,-0.49,-0.0052,-0.0278,Sell
2021-03-30,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6368836.0,182.34,28.63,0.0089,-49996.0,-1.43,-14.91,-2.1,-0.0683,-0.043,Sell
2021-03-30,ARKK,PAGERDUTY INC,PD,6628179.0,246.1,37.13,0.012,-52026.0,-1.93,-10.88,-1.34,-0.0348,-0.0083,Sell
2021-03-30,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,12320570.0,267.73,21.73,0.0131,-90018.0,-1.96,-12.51,-0.85,-0.0376,-0.0076,Sell
